name,type,variable,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,continent,region
Afghanistan,country,SDG 6.4.2. Water Stress [%],,,,,,,,,,,,,,28.88768898,32.35490911,35.82212923,39.28934935,42.75656947,46.2237896,49.69100972,53.15822984,56.62544996,60.09267009,63.55989021,67.02711033,70.49433045,69.06366582,67.63300118,66.20233654,64.76909672,63.33778829,61.90647986,60.47517143,59.04386299,57.61255456,56.18124613,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,54.75701944,Asia,Southern Asia
Afghanistan,country,Total freshwater withdrawal [10^9 m3/year],,,,,,,,,,,,,,10.7,11.98425833,13.26851667,14.552775,15.83703333,17.12129167,18.40555,19.68980833,20.97406667,22.258325,23.54258333,24.82684167,26.1111,25.58118182,25.05126364,24.52134545,23.99047343,23.46031678,22.93016014,22.4000035,21.86984685,21.33969021,20.80953357,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,20.282,Asia,Southern Asia
Afghanistan,country,Total water withdrawal [10^9 m3/year],,,,,,,,,,,,,,10.7,11.98425833,13.26851667,14.552775,15.83703333,17.12129167,18.40555,19.68980833,20.97406667,22.258325,23.54258333,24.82684167,26.1111,25.58094336,25.05078671,24.52063007,23.99047343,23.46031678,22.93016014,22.4000035,21.86984685,21.33969021,20.80953357,20.27937692,20.28103846,20.2827,20.30074,20.31878,20.33682,20.35486,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,20.3729,Asia,Southern Asia
Afghanistan,country,Total water withdrawal per capita [m3/inhab/year],,,,,,,,,,,,,,837.6419705,917.6412758,994.5850645,1069.157556,1159.749231,1300.090162,1541.815716,1791.386697,1921.057084,1989.087168,2060.286012,2173.965043,2292.897551,2219.932467,2109.701959,2035.640228,1960.185522,1766.726615,1534.490812,1378.394403,1281.498712,1201.338212,1127.760185,1058.422816,1019.773618,1007.569326,1000.810134,950.4476002,894.5927139,863.9344222,834.798667,801.3225565,786.2993583,769.2931614,741.7470992,720.2954283,694.1904969,666.6517452,644.2491445,621.2666223,602.1826116,587.1049191,570.8463982,554.4696507,538.1666019,521.4597494,509.317254,502.0572051,Asia,Southern Asia
Albania,country,Agricultural water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.934,0.868,0.802,0.736,0.67,0.748,0.826,0.904,0.982,1.06,0.9696,0.8792,0.7888,0.6984,0.608,0.5176,0.5312,0.5448,0.5584,0.572,0.5856,0.5992,0.6128,0.6264,0.64,0.638,0.699,0.653,0.692,0.545,0.564,0.565,Europe,Southern Europe
Albania,country,Agricultural water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33333333,78.37016899,73.33806482,68.23557439,63.0612105,57.81344378,57.77489418,57.74366288,57.71784656,57.69614928,57.67765807,55.39115433,52.86449565,50.05774918,46.9216092,43.39447577,40.67839235,42.57297193,44.54401256,46.59623826,48.73477038,50.96517032,53.29348774,55.72631541,58.27085155,69.56521739,70.26431718,64.01098901,68.16283925,61.18479222,69.33842239,70.85427136,70.89084065,Europe,Southern Europe
Albania,country,Fresh groundwater withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.108,0.107,0.099,0.216,0.082,0.111,0.107,Europe,Southern Europe
Albania,country,Fresh surface water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,0.984,0.984,0.859,0.915,0.704,0.685,0.69,Europe,Southern Europe
Albania,country,Industrial water withdrawal [10^9 m3/year],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.11274,0.12548,0.13822,0.15096,0.1637,0.17644,0.18918,0.20192,0.21466,0.2274,0.22828,0.22916,0.23004,0.23092,0.2318,0.22165,0.2115,0.20135,0.1912,0.18105,0.1709,0.16075,0.1506,0.14045,0.1303,0.12015,0.11,0.098,0.201,0.016,0.01,0.011,Europe,Southern Europe
Albania,country,Industrial water withdrawal as % of total water withdrawal [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333,9.459799627,10.60191287,11.76000136,12.93440263,14.1254638,13.62807798,13.2251164,12.89202166,12.61207271,12.37349004,13.04114347,13.77892155,14.59848456,15.51422966,16.54414389,17.41956272,16.95064677,16.4628064,15.95487241,15.42557723,14.87354441,14.29727662,13.69514213,13.06535936,14.16304348,13.23237885,10.07326007,10.22964509,17.77188329,2.03562341,1.256281407,1.380175659,Europe,Southern Europe
